,SMILES
0,CCCCC[C@@H]1Cc2cc(c(cc2c2c1c1c(cc2OC)O[C@H]([C@@H](C1)O)c1ccc(c(c1)OC)O)CC(C)C)O
1,C[C@@H]1CN([C@@H](C)CO)C(=O)c2ccccc2c2ccccc2CO[C@H]1CN(C)C(=O)c1ccccc1
2,C[C@@]12CC[C@@H]3[C@]([C@H]1CC[C@H]([C@H]2CC(=O)N1CCCC1)O)(CO[C@H](O3)CNC(=O)C1CCCC1)C
3,c1cn([C@H]2C[C@@H]([C@@H](CO)O2)OP(=O)(O)OC[C@@H]2[C@H](C[C@H](n3cnc4c3[nH]c(=N)nc4O)O2)O)c(nc1=N)O
4,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
5,CC(C)CCc1c(C)ccc(C)c1C
6,[C@]12([C@@H]([C@H](CN(C1)CCc1c(CC2)n(c2c1cccc2)C)O)O)CC
7,C[C@@H]1C[C@H]2[C@@H]([C@@H](C(=O)O2)C[NH+]2CCCC2)[C@@H]([C@]2([C@@H]1[C@H](C[C@@H]2O)OC(=O)C)C)OC(=O)C
8,CC1=C[C@H]([C@@H](C[C@H]1CC(=O)NC1CCCC1)C(C)C)CNC(=O)CC(C)(C)C
9,[C@]123C(=C(C(=O)O3)C)C[C@H](N1C)[C@@]1([C@](C2)([C@@H](CC1)N)C)C
10,[C@]123[C@@H]([C@]([C@H]([C@H]([C@H]2O)OC(=O)C)C)(CCC(=C)C=C)C)C[C@@H](C=C1[C@@H](O[C@@H]3OC(=O)C)OC(=O)CCC)OC(=O)CCC
11,CC1CCC2(C(C3C(O2)CC4C3(C(=O)CC5C4CCC6C5(CCC(C6)O)C)C)C)OC1
12,[C@@]12([C@]([C@@H](CC2)[C@H](C(=O)O)C)(CC[C@@H]2[C@H]1CC[C@@H]([C@]1(C2)OC(=O)CC1)[C@@](CO)(O)C)C)C
13,c12c(ccc(c1)CCCCCCCCCCCCCCCCC(=O)O)OCO2
14,[C@@]12([C@@H]([C@@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](CC4)O)C)CC2)CC[C@H]1[C@@H](C[C@H](/C=C/C(C)C)C)C)C
15,c1cc(cnc1)CNC(=O)C[C@@H]1CC[NH2+]C[C@@H]1Cc1cc(on1)CC1CCCCC1
16,[C@]12([C@]([C@@H](/C=C/3\OC(=O)C(=C3)C)C)(CC=C1C)C)C1=CC[C@H]([C@@]([C@H]1CC2)(CCC(=O)OC)C)C(=C)C
17,C(C(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OP(=O)(O)OCCN
18,[C@@](CCC[C@H](CCC=C(C)C)C)(C=C)(O)C
19,C1([C@H]2[C@@H](C1)C(=C)C[C@H]([C@H]([C@@H](C(=O)C2)C)O)O)(C)C
20,[C@]12([C@@]([C@@H]3[C@@](CC2)([C@@H](C[C@H]3O)C(C)C)C)(CC=C2[C@H]1[C@H](C[C@@H]1[C@@]2(C[C@H]([C@@H](C1(C)C)O)OC(=O)C)C)O)C)C
21,C[N+](C)(C)C[C@H](CC([O-])=O)OC(=O)CCO
22,CC(=O)NC[C@@H]1[C@H]([C@H]([C@@H](O1)CC(=O)Nc1ccccc1)O)O
23,C(=O)(O)CCCCCC/C=C/C=C\C=C/C=C\CCC
24,CC(=CCCC(C)C1C2(C)C(CC1)C1=C(CC2)C2(C)C(CC1)C(CO)C(O)CC2)C
25,C12=C([C@H](CC(=O)[C@@]1(CC[C@H]([C@H]2OC(=O)/C=C/c1ccccc1)C(C)C)C)O)C
26,CCOC(=O)C1=C(NC(=C([C@@H]1C(C)C)C(=O)OCC)C)C
27,c1(c2c(c(=O)cc(o2)c2cc(c(cc2)OC(=O)C)OC)c(cc1O)O)[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
28,[C@@]12([C@](O1)(C[C@@H](CC2(C)C)O)C)CC(=O)/C(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(\C=C=C1[C@@](C[C@@H](CC1(C)C)O)(O)C)/C)/C)\C)/C
29,[C@@]12([C@@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@@H](OC(=O)C)CC4)C)C[C@@H]2O)C[C@H]([C@H]1[C@@H]([C@@H]1NC[C@H](CC1)C)C)O)C
30,C1(C(=C(C[C@H](C1)O)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(/C=C/[C@@H](C(O)(C)C)OCO[C@H]1[C@@H]([C@H]([C@H](O1)CC)O)O)\C)\C)\C)/C)/C)(C)C
31,COc1cc(ccc1O)C[C@H](/C=C/C(=O)CCc1ccccc1)O
32,C[NH2+]CCNC(=N)[N+]1=CC[C@@H]([C@@]2(C1)[C@@H]1CC[C@@H]3[C@@]42C[C@@]([C@H](CCCC3)OC)(C(=C4C1)C(=O)[O-])O)C[NH2+]C
33,CCCc1nc2c(nc([O-])n(c2=O)C)n1CCc1ccccc1
34,[C@@H]1([C@H]([C@@H]([C@H]([C@@H](O1)CO)O)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)[C@@H](C[C@H](C[C@H](C[C@H](C[C@H]([C@H](CCCCCCCCCCCCCCCCC)O)C)C)C)C)C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)OS(=O)(=O)O
35,OC1C(C(C(O)C1)/C=C/C(O)CCCCC)C/C=C\CC(=O)O
36,NC1=C2N=CN(C3OC(COP(O)(=O)OP(O)(=O)OCC4OC(O)C(O)C4O)C(O)C3O)C2=NC=N1
37,C[C@H](CCCCCCCCCC(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O[C@H]1[C@@H](C[C@H]([C@H](C)O1)O)O
38,[C@H](C[C@H](CCc1ccc(cc1)O)O)(/C=C/c1ccccc1)OCC
39,[C@]12(C([C@H](CC=C1C)O)(C)C)O[C@@H](CC2)C
40,[C@@]1([C@H](/C=C/[C@@H]([C@H](/C(=C/C=C/[C@@H](CC/C=C(/[C@@H](CC)O)\C)C)/C)OC(=O)C[C@@H](CC1)O)C)OC(=O)C)(O)C
41,[H]C(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(=O)OCCNC)OC(=O)CCCCCCCCCCCCCCCCCCC
42,CCCCCCCCCC(CCCCCCCCCCCC(=O)[O-])O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O
43,[C@]123[C@H]([C@]([C@H]([C@@]4([C@@H]([C@H]1OC(=O)C)[C@H]([C@H](C4)C)OC(=O)C)OC(=O)/C(=C\C)/C)OC(=O)C)(O[C@@H]2O)C)[C@H]1C([C@H]1C[C@H]3OC(=O)/C(=C/C)/C)(C)C
44,c1ccc(cc1)N1CC[NH+](CC1)CC[C@H]1CN(CC[C@H]1CC(=O)[O-])C(=O)C1CCCC1
45,C[C@@H]1[C@H]([C@H](O[C@H]1CO)[C@H]([C@](C)([C@H]1CC[C@@]2([C@@]1(CC[C@H]1C2=CC(=O)[C@H]2[C@@]1(CC[C@@H](C2)O)C)C)O)O)O)C
46,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)[C@@H]([C@H]2[C@@]3(CC[C@@H]3[C@@H]2CC[C@@H]2[C@@]3(CC[C@@H](C2)O)C)C)O)C)[NH2+]C1
47,[C@]12([C@H]3[C@@](/C(=C(/C=C/C=C(/[C@H](CC=C(C)C)OC(=O)C)\C)\C)/C(=O)C3)(CC[C@H]1[C@]([C@@H](CC2)OC(=O)C)(COC(=O)C)C)C)C
