X.SampleID	Bacterial.diversity.Wall	Fungal.diversity.Wall	Diversity.18S.Wall	Fungal.diversity.Floor	Bacterial.diversity.Floor	Diversity.18S.Floor
Che.120.kitc	2.123433601	2.510484942	3.663963595	NA	NA	NA
Che.121.kitc	NA	NA	NA	5.486344327	7.066874745	6.865600153
Che.125.bedr	4.373867476	2.941861632	NA	NA	NA	NA
Che.126.bedr	NA	NA	NA	NA	6.710353346	3.157020108
Che.127.livi	2.812016351	NA	NA	NA	NA	NA
Che.128.livi	NA	NA	NA	NA	7.352553638	NA
Che.162.kitc	NA	NA	NA	NA	NA	NA
Che.163.kitc	NA	NA	NA	1.098017278	6.054209392	NA
Che.167.bedr	2.90215156	3.727525735	NA	NA	NA	NA
Che.168.bedr	NA	NA	NA	4.417432268	5.778120813	NA
Che.169.livi	4.680218747	NA	NA	NA	NA	NA
Che.170.livi	NA	NA	NA	4.343469357	5.790462804	NA
Che.2.kitc	3.928605878	1.946428716	0.603892023	NA	NA	NA
Che.208.kitc	2.247410901	2.435270135	2.852701224	NA	NA	NA
Che.209.kitc	NA	NA	NA	NA	7.113523221	NA
Che.213.bedr	4.64886055	NA	NA	NA	NA	NA
Che.214.bedr	NA	NA	NA	NA	6.130367182	5.956444444
Che.215.livi	6.506051291	NA	NA	NA	NA	NA
Che.216.livi	NA	NA	NA	NA	5.047950802	NA
Che.276.kitc	4.27918092	2.862881361	2.902068611	NA	NA	NA
Che.277.kitc	NA	NA	NA	3.135095524	6.715402225	7.02296767
Che.281.bedr	5.284518978	5.156113555	2.052666921	NA	NA	NA
Che.282.bedr	NA	NA	NA	4.825994468	6.017590436	NA
Che.283.livi	3.393792072	4.529582583	1.794158257	NA	NA	NA
Che.284.livi	NA	NA	NA	5.558528096	5.97742392	6.749673726
Che.3.kitc	NA	NA	NA	4.992631918	7.20727345	6.215926263
Che.330.kitc	2.972957508	NA	NA	NA	NA	NA
Che.331.kitc	NA	NA	NA	NA	7.514720719	NA
Che.335.bedr	4.007337162	NA	NA	NA	NA	NA
Che.336.bedr	NA	NA	NA	3.964346824	6.026239813	5.829558883
Che.337.livi	3.56087086	NA	NA	NA	NA	NA
Che.338.livi	NA	NA	NA	NA	6.096260957	NA
Che.372.kitc	3.888347139	0.760212309	2.59152248	NA	NA	NA
Che.373.kitc	NA	NA	NA	NA	6.777273191	3.475394105
Che.377.bedr	3.60832821	4.473160629	5.140432521	NA	NA	NA
Che.378.bedr	NA	NA	NA	4.486532698	7.752712985	6.757163097
Che.379.livi	5.411726376	2.675839883	2.308173278	NA	NA	NA
Che.380.livi	NA	NA	NA	NA	6.819585401	3.307307551
Che.418.kitc	3.064966427	NA	NA	NA	NA	NA
Che.419.kitc	NA	NA	NA	5.151417288	7.190466585	6.677374884
Che.423.bedr	4.869754844	NA	NA	NA	NA	NA
Che.424.bedr	NA	NA	NA	NA	6.758371797	6.695342891
Che.425.livi	2.285453491	3.380211052	0.634270451	NA	NA	NA
Che.426.livi	NA	NA	NA	4.390997532	5.724309043	5.818813165
Che.7.bedr	NA	NA	NA	2.653381564	5.170741812	5.866555796
Che.77.kitc	3.727995257	3.455065458	2.887725017	NA	NA	NA
Che.78.kitc	NA	NA	NA	NA	6.790490537	2.562577023
Che.8.bedr	3.818490768	NA	NA	NA	NA	NA
Che.81.bedr	4.278299714	NA	NA	NA	NA	NA
Che.82.bedr	NA	NA	NA	NA	7.858160783	NA
Che.83.livi	3.512505561	NA	NA	NA	NA	NA
Che.84.livi	NA	NA	NA	NA	5.611332618	NA
Iqu.1024.kitc	2.638006501	NA	NA	NA	NA	NA
Iqu.1025.kitc	NA	NA	NA	5.11545924	4.559194463	4.848089093
Iqu.1028.bath	3.585369184	NA	NA	NA	NA	NA
Iqu.1029.bath	NA	NA	NA	2.995143507	5.022371948	5.016210564
Iqu.1031.bedr	1.06595086	NA	1.585978442	NA	NA	NA
Iqu.1032.bedr	NA	NA	NA	6.751997219	6.95111493	5.731464144
Iqu.1033.livi	4.182175278	NA	NA	NA	NA	NA
Iqu.1034.livi	NA	NA	NA	5.379947791	7.091531885	NA
Iqu.1066.bath	5.531569802	NA	NA	NA	NA	NA
Iqu.1069.bedr	NA	NA	NA	NA	NA	NA
Iqu.1070.bedr	NA	NA	NA	NA	6.776152169	NA
Iqu.803.kitc	5.549931774	NA	3.6582537	NA	NA	NA
Iqu.804.kitc	NA	NA	NA	3.99669445	6.432004902	4.963608644
Iqu.807.bath	4.894765527	NA	4.008590613	NA	NA	NA
Iqu.808.bath	NA	NA	NA	7.077192493	5.561490528	5.087982688
Iqu.810.bedr	6.535989869	NA	3.972107312	NA	NA	NA
Iqu.811.bedr	NA	NA	NA	NA	5.821920173	4.115553823
Iqu.812.livi	6.155001762	NA	0.767397594	NA	NA	NA
Iqu.813.livi	NA	NA	NA	NA	6.762268392	3.288979964
Iqu.859.kitc	5.479947903	5.211402494	4.960275683	NA	NA	NA
Iqu.860.kitc	NA	NA	NA	4.660263819	6.281202346	6.344180071
Iqu.866.kitc	5.938814413	3.047235315	NA	NA	NA	NA
Iqu.867.kitc	NA	NA	NA	6.872821981	6.708156826	1.959115426
Iqu.870.bath	5.629944494	4.164535325	NA	NA	NA	NA
Iqu.871.bath	NA	NA	NA	NA	4.995778201	5.371929019
Iqu.873.bedr	NA	NA	NA	NA	NA	NA
Iqu.874.bedr	NA	NA	NA	NA	5.510516408	NA
Iqu.875.livi	NA	5.788908151	1.272782905	NA	NA	NA
